id,name,headquarter,street,house_number,place_id,phone,fax,director_id,homepage_id,net_id
451,Stedelijke Academie voor      Muziek en Woord en Dans,false,Kerkplein,     ,1021,,,67,67,1
452,Stedelijke Academie voor      Muziek en Woord en Dans,false,Augustijnenlaan,31,1021,,,67,67,1
453,Stedelijke Academie voor      Muziek en Woord en Dans,false,Kapelstraat,3,1206,,,67,67,1
454,Stedelijke Academie voor      Muziek en Woord en Dans,false,Schoolstraat,33,1381,,,67,67,1
455,Stedelijke Academie voor      Muziek en Woord en Dans,false,Ursulinenstraat,13,1398,,,67,67,1
456,Stedelijke Academie voor      Muziek en Woord en Dans,false,Gierlebaan,26,1398,,,67,67,1
457,Stedelijke Academie voor  Muziek en Woord en Dans,false,Ring,26,1770,,,67,67,1
458,Stedelijke Academie voor      Muziek en Woord en Dans,false,Lichtaartseweg,129,1804,,,67,67,1
459,Stedelijke Academie voor      Muziek en Woord en Dans,false,Kerkstraat,1,2423,,,67,67,1
460,Stedelijke Academie voor      Muziek en Woord en Dans,false,Mgr. Donchelei,7,2596,,,67,67,1
461,Stedelijke Academie voor      Muziek en Woord en Dans,false,Begonialaan,12,2681,,,67,67,1
462,Stedelijke Academie voor      Muziek en Woord,false,Karel van Manderstraat,26,1593,,,68,68,1
463,Stedelijke Academie voor      Muziek en Woord,false,Fonteinestraat,22,1953,,,68,68,1
464,Stedelijke Academie voor      Muziek en Woord,false,Molenweg,2,2426,,,68,68,1
465,Stedelijke Academie voor      Muziek en Woord,false,Generaal Maczekplein,     ,2426,,,68,68,1
466,Stedelijke Academie voor      Muziek en Woord,false,Krommewalstraat,z/n  ,2426,,,68,68,1
467,Stedelijke Academie voor      Muziek en Woord,true,Lakenmarkt,4,2426,51402318,51405189,68,68,1
468,Stedelijke Academie voor      Muziek en Woord,false,Nieuwstraat,16,2747,,,68,68,1
469,Stedelijke Academie voor      Muziek en Woord,false,Rozendalestraat,     ,2747,,,68,68,1
470,Stedelijke Academie voor      Muziek en Woord,false,Regenboogstraat,50,2823,,,68,68,1
471,Gemeentelijke Academie voor   Muziek,true,Ruwaal,14,887,22708238,22671990,69,69,1
472,Gemeentelijke Academie voor   Muziek,false,Nachtegaallaan,5,1130,,,69,69,1
473,Gemeentelijke Academie voor   Muziek,false,Verbeytstraat,40,2369,,,69,69,1
474,Stedelijke Academie voor      Podiumkunsten (muziek,true,Utopia,1,7,53732485,53732489,70,70,1
475,Stedelijke Academie voor      Podiumkunsten (muziek,false,Binnenstraat,157,7,,,70,70,1
